species,process,initial_charge,final_charge,charge_state,degree,n_features,ne_min,ne_max,Te_min,Te_max,Ti_min,Ti_max,n0_by_ne,intercept,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,r2_score,mae_percent,max_error_percent
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,10.0,-2.3246992246664004,0.0,0.007876596652065231,1.5563904593214268,-1.4367921301767888,-0.0010596745123775137,-0.9888356731735766,-0.1400530906351218,-0.0032723577310116397,-0.012352150247019265,0.3688884783648238,0.9762105949298401,2.1689997312760707,11.694426853150535
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,100.0,-6.023774946008593,0.0,0.008699708811788815,1.979336863980773,-2.0962690304853955,-0.0010919598596051828,-1.2134210790282234,-0.042358648888532587,-0.0021703624880811925,-0.010143234525737368,0.08461986303661585,0.9877507285389108,0.173398604322228,1.7444255816949057
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1000.0,-10.457721345219328,0.0,0.008771149097897299,2.072347303592984,-2.2655165733848714,-0.0008055672031147544,-1.2698500202014575,-0.0053763732902712795,-0.0022677126024842,-0.008540284490367981,0.0010589137768359633,0.9895500232462755,0.002458379171116163,0.028782221915413696
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1e-06,-15.603490948475866,0.0,-0.29808830750704673,-11.351700223867951,-0.018692481186023874,-0.025573126871302865,6.694913960214259,-0.02230607741220326,0.4230656625098595,0.04417290281445385,-0.09879819976632509,0.9612658440611123,1.6282510461363708,46.566162237984884
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-06,-15.54439677608681,0.0,-0.2918825066743757,-11.43925539671399,0.05039595019657292,-0.025249929163760797,6.650581527978879,-0.004018152408746204,0.41620079879131894,0.04580052984509105,-0.18791388502560227,0.9629142133861739,1.6909505437549754,47.74618476649446
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-05,-15.15972497830345,0.0,-0.23483397076285897,-11.992369086876801,0.474912937565065,-0.02650997435436108,6.264247840089008,0.09904602461840416,0.3611173216330039,0.06709416335584395,-0.6271343746972788,0.972471800492961,2.0565934561404773,52.13303747959708
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.001,-13.575570353841444,0.0,-0.10046767769472088,-13.40141631158238,2.137897885423675,-0.0353176260249898,3.8723349460024257,0.3975032721968943,0.1723454596485694,-0.06543152150434423,-0.6700356302523554,0.9783011233119794,2.514736464766122,51.70267733968539
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.01,-7.887665208871222,0.0,-0.0021338635159075053,-9.108166461980208,3.9459413751498076,-0.0006900051985332914,0.9069889237686996,-0.24134904061747714,-0.0005495677226904139,0.009533235842775233,3.898080780718867,0.9945338275996122,2.4750512230950683,57.226729969000914
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.09999999999999999,-2.621155662098732,0.0,0.019613100815493386,-2.5351000390050067,1.7375779315159725,-0.006527014224462607,-0.26136835682163695,-0.2746433651051003,0.002025334164282164,-0.042911804966526905,2.62713074461008,0.9118171907753976,6.841494802974584,40.97120376901081
Ar,fZ,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1.0,-2.0011793208688866,0.0,0.017997551856833608,1.7312709905622332,-0.7268929661525799,0.0011263402908599357,-1.3864244530621566,-0.3266729014904328,-0.010900132326878944,-0.02984052936599934,1.4037308461313285,0.9149288890590362,5.5834468661202115,19.689945199873176
